WP:3844,GO:0000165,GO:0004896,KEGG:hsa04064,KEGG:hsa04210,KEGG:hsa04630,GO:0016209,GO:0098869,GO:0072593,GO:0006281,ExactMolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,FractionCSP3,NumAromaticRings,MaxPartialCharge,MinPartialCharge,NumNitrogen,NumOxygen
1,0,0,0,0,0,0,0,0,0,399.1342822759999,2.1129999999999995,120.7,3,8,4,0.2631578947368421,3,0.3540885306598588,-0.5071391978107127,5,4
1,0,0,0,0,0,0,0,0,0,498.16853893199993,1.3082,129.06,1,9,5,0.391304347826087,3,0.354088656078279,-0.47650816403934787,6,5
1,0,0,0,0,0,0,0,0,0,352.11715499199994,1.9322000000000001,108.67,2,7,3,0.2222222222222222,3,0.3540077260829699,-0.5079428928961407,4,4
1,0,0,0,0,0,0,0,0,0,413.1499323399999,2.1372999999999993,111.91000000000001,2,8,4,0.3,3,0.3540886532343587,-0.5072460485116098,5,4
1,0,0,0,0,0,0,0,0,0,399.1342822759999,2.1129999999999995,120.7,3,8,4,0.2631578947368421,3,0.35408853065998513,-0.5072460485116174,5,4
1,0,0,0,0,0,0,0,0,0,448.08528348399994,1.4748,142.81,2,9,4,0.2631578947368421,3,0.3540534421938148,-0.5078326517210283,4,6
1,0,0,0,0,0,0,0,0,0,341.08187105199994,4.5580000000000025,73.32,3,2,3,0.21052631578947367,3,0.3373688620395757,-0.4775829320836726,1,3
1,0,0,0,0,0,1,0,0,0,354.136827816,5.278840000000004,63.08,1,3,3,0.08695652173913043,4,0.33526079829838523,-0.4776383036006928,2,2
1,0,0,0,0,0,0,0,0,0,411.15426877199997,1.3363999999999998,140.93,4,9,6,0.3,3,0.354088532142789,-0.5072496970533117,5,5
1,0,0,0,0,0,0,0,0,0,413.1499323399999,2.1372999999999993,111.91000000000001,2,8,4,0.3,3,0.354088653234367,-0.5043202695655008,5,4
1,0,0,0,0,0,0,0,0,0,399.1342822759999,2.1129999999999995,120.7,3,8,4,0.2631578947368421,3,0.35408853065999346,-0.5043202695655056,5,4
1,0,0,0,0,0,0,0,0,0,448.08528348399994,1.4747999999999999,142.81,2,9,4,0.2631578947368421,3,0.35405344219364815,-0.5048804439199774,4,6
1,0,0,0,0,0,0,0,0,0,395.15935415199993,1.9981999999999998,111.91000000000001,2,8,4,0.3,3,0.35408865314210036,-0.5079662294393079,5,4
1,0,0,0,0,0,0,0,0,0,411.15426877199997,1.3364,140.93,4,9,6,0.3,3,0.3540885320508243,-0.5079428928960564,5,5
1,0,0,0,0,0,0,0,0,0,478.1964679319999,1.6006999999999998,132.22,2,9,4,0.375,3,0.35408865609798,-0.5079428928960564,6,5
1,1,0,0,0,0,1,1,0,0,347.03406533200007,3.1266000000000007,110.67999999999999,3,4,3,0.0,3,0.25041208066736576,-0.3677741842317238,5,1
1,0,0,1,0,0,1,1,0,0,391.1320767840001,4.967500000000003,78.61,2,3,4,0.0,5,0.2598062758785451,-0.33845196089793694,3,2
