SMILES,WP:3844,GO:0000165,GO:0004896,KEGG:hsa04064,KEGG:hsa04210,KEGG:hsa04630,GO:0016209,GO:0098869,GO:0072593,GO:0006281
CC(C)(C)C(=O)Nc1cc2c(cc1)c1ccccc1C(=O)C2=O,1,0,0,0,0,0,1,0,0,0
COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2C(=O)O)O,1,0,0,0,0,0,0,0,0,0
C1COCCN1C2=NC(=NC3=C2SC(=C3)C(=O)O)N4CCOCC4,1,0,0,0,0,0,0,0,0,0
COC1=CC=C(C=C1)NS(=O)(=O)C2=CC(=C(C=C2)N)C(=O)O,1,0,0,0,0,0,1,0,0,0
C1=CC=C(C=C1)C2=C(C3=CC=CC=C3N2)/C=C\4/C(=O)C5=C(C=C(C=C5O4)O)O,1,0,0,0,0,0,0,0,0,0
CC1=CC(=C(N1CC=C)C)C(=O)CSC2=NC3=CC=CC=C3C(=O)N2,1,1,0,0,0,0,1,1,0,0
CC1CN(C2=CC=CC=C12)C(=O)CC3=NC(=CC(=O)N3)N4CCOCC4,1,0,0,0,0,0,1,0,0,0
C1CN(CCC1N2C3=CC=CC=C3NC2=O)CC4=CC=C(C=C4)C5=NC6=C(C=C(C=C6)C(=O)O)N=C5C7=CC=CC=C7,1,0,0,0,0,0,1,1,0,0
C1CN(CCC1N2C3=CC=CC=C3NC2=O)CC4=CC=C(C=C4)C5=NC6=C(C=CC(=C6)C(=O)O)N=C5C7=CC=CC=C7,1,0,0,0,0,0,1,1,0,0
CC1=C2C=C(C(=O)NC2=NC(=N1)N)C3=CC(=C(N=C3)OC)NS(=O)(=O)C4=C(C=C(C=C4)F)F,1,0,0,0,0,0,0,0,0,0
CCOC(=O)C1=C(N=C(N=C1C2=CC=CC=C2)NNC(=O)C3=CC=CC4=C3NC5=CC=CC=C5C4=O)C,1,0,0,0,0,0,1,0,0,0
CN(CCO)C1=CC(=NC2=C1N=C(N=C2C3=CC=CC(=C3)CO)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
COCCNC1=CC(=NC2=C1N=C(N=C2C3=CC=C(C=C3)CO)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
C1CC(C1)(C2=CC=C(C=C2)C3=C(N4C(=N3)C=CC(=N4)C(=O)O)C5=CC=CC=C5)N,1,0,0,0,0,0,1,1,0,0
CC1=C2C=C(C(=O)N(C2=NC(=N1)N)CC(C)(C)O)C3=CC=C(C=C3)F,1,0,0,0,0,0,0,0,0,0
CC1=CC(=NC2=NC(=CN12)CSC3=C(C=CC=N3)C(=O)O)C,1,0,0,0,0,0,1,0,0,0
CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,1,1,0,0,0,0,0,0,0,0
CC1=CN2C(=O)C=C(N=C2C(=C1)C(C)NC3=C(C=CC(=C3)Cl)C(=O)O)N4CCOCC4,1,0,0,0,0,0,0,0,0,0
CCC1(CC(=O)N(C1=O)C2=CC(=C(C=C2)C(=O)O)O)C,1,0,0,0,0,0,1,0,0,0
Cl.O=C1NCCc2[nH]c(cc12)-c1ccncc1,1,0,0,0,0,0,1,0,0,0
CN(C)C1=CC=CC(=C1)NC(=O)CC2=NC(=CC(=O)N2)N3CCOCC3,1,0,0,0,0,0,1,0,0,0
CN(CCOC)C1=CC(=NC2=C1N=C(N=C2C3=CC=C(C=C3)CO)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
CC\1=C(C2=C(/C1=C/C3=CC=C(O3)C4=CC(=C(C=C4)C(=O)O)Cl)C(=C(C(=N2)N)C#N)C)C#N,1,0,0,0,0,0,1,0,0,0
CC1=C2/C(=C/C3=CC=C(O3)C4=CC(=C(C=C4)C(=O)O)Cl)/C(=C)C(=C2NC(=C1C#N)N)C#N,1,0,0,0,0,0,1,0,0,0
CN(CCO)C1=CC(=NC2=C1N=C(N=C2C3=CC(=C(C=C3)F)CO)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
CC1=C2C=C(C(=O)N(C2=NC(=N1)N)CC(C)(C)O)C3=CN=C4C(=C3)C=CN4,1,0,0,0,0,0,0,0,0,0
CCOC1=CC2=C(C=C1)NC(=O)C(=C2)CN(CC3=CC=CC=C3)C(=O)N4CCCC4,1,0,0,0,0,0,1,0,0,0
